"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","DTLSv1.2","219","Client Hello"
"2","0.000293569","127.0.0.1","127.0.0.1","DTLSv1.2","102","Hello Verify Request"
"3","0.000380454","127.0.0.1","127.0.0.1","DTLSv1.2","251","Client Hello"
"4","0.000500233","127.0.0.1","127.0.0.1","DTLSv1.2","149","Server Hello"
"5","0.000561397","127.0.0.1","127.0.0.1","DTLSv1.2","1333","Certificate"
"6","0.009718877","127.0.0.1","127.0.0.1","DTLSv1.2","396","Server Key Exchange"
"7","0.009765820","127.0.0.1","127.0.0.1","DTLSv1.2","67","Server Hello Done"
"8","0.012683323","127.0.0.1","127.0.0.1","DTLSv1.2","133","Client Key Exchange"
"9","0.012860161","127.0.0.1","127.0.0.1","DTLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"10","0.015554784","127.0.0.1","127.0.0.1","DTLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
