"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","58560  >  11111 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=4149524729 TSecr=0 WS=128"
"2","0.000025398","127.0.0.1","127.0.0.1","TCP","74","11111  >  58560 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=4149524729 TSecr=4149524729 WS=128"
"3","0.000046078","127.0.0.1","127.0.0.1","TCP","66","58560  >  11111 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4149524729 TSecr=4149524729"
"4","0.000393206","127.0.0.1","127.0.0.1","TCP","66","58560  >  11111 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4149524729 TSecr=4149524729"
"5","0.000534055","127.0.0.1","127.0.0.1","TCP","66","11111  >  58560 [FIN, ACK] Seq=1 Ack=2 Win=65536 Len=0 TSval=4149524729 TSecr=4149524729"
"6","0.000567676","127.0.0.1","127.0.0.1","TCP","66","58560  >  11111 [ACK] Seq=2 Ack=2 Win=65536 Len=0 TSval=4149524729 TSecr=4149524729"
"7","204.614339848","127.0.0.1","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"8","340.399994846","127.0.0.1","127.0.0.1","TCP","74","58116  >  11111 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=4149865129 TSecr=0 WS=128"
"9","340.400019802","127.0.0.1","127.0.0.1","TCP","54","11111  >  58116 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"10","492.554700440","127.0.0.1","127.0.0.1","TCP","74","45604  >  11111 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=4150017283 TSecr=0 WS=128"
"11","492.554726917","127.0.0.1","127.0.0.1","TCP","74","11111  >  45604 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=4150017284 TSecr=4150017283 WS=128"
"12","492.554746398","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4150017284 TSecr=4150017284"
"13","492.555404264","127.0.0.1","127.0.0.1","TLSv1.2","226","Client Hello"
"14","492.555423893","127.0.0.1","127.0.0.1","TCP","66","11111  >  45604 [ACK] Seq=1 Ack=161 Win=65408 Len=0 TSval=4150017284 TSecr=4150017284"
"15","492.555663781","127.0.0.1","127.0.0.1","TLSv1.2","157","Server Hello"
"16","492.555707176","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=161 Ack=92 Win=65536 Len=0 TSval=4150017284 TSecr=4150017284"
"17","492.555827003","127.0.0.1","127.0.0.1","TLSv1.2","1341","Certificate"
