"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
"2","0.000017810","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
"3","2.904086096","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"4","3.904943831","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"5","4.905534249","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"6","5.906973898","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"7","6.792097434","10.42.0.1","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"8","6.792220293","fe80::e15f:fe01:9730:dc27","ff02::fb","MDNS","203","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"9","7.407812557","fe80::e15f:fe01:9730:dc27","ff02::2","ICMPv6","62","Router Solicitation"
"10","8.951540344","10.42.0.240","10.42.0.1","DNS","72","Standard query 0x76c9 A pool.ntp.org"
"11","8.951670127","10.42.0.1","10.42.0.240","DNS","72","Standard query response 0x76c9 Refused A pool.ntp.org"
"12","14.180623603","LiteonTe_89:72:3b","Espressi_02:18:d0","ARP","42","Who has 10.42.0.240? Tell 10.42.0.1"
"13","14.214400370","Espressi_02:18:d0","LiteonTe_89:72:3b","ARP","42","10.42.0.240 is at 34:85:18:02:18:d0"
"14","15.842703177","Espressi_02:18:d0","Broadcast","ARP","42","ARP Announcement for 10.42.0.240"
"15","15.842723165","Espressi_02:18:d0","Broadcast","ARP","42","ARP Announcement for 10.42.0.240"
"16","39.800849924","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
"17","39.800867854","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
"18","68.954250718","10.42.0.240","10.42.0.1","DNS","72","Standard query 0xe529 A pool.ntp.org"
"19","68.954361657","10.42.0.1","10.42.0.240","DNS","72","Standard query response 0xe529 Refused A pool.ntp.org"
"20","74.084598297","LiteonTe_89:72:3b","Espressi_02:18:d0","ARP","42","Who has 10.42.0.240? Tell 10.42.0.1"
"21","74.179648573","Espressi_02:18:d0","LiteonTe_89:72:3b","ARP","42","10.42.0.240 is at 34:85:18:02:18:d0"
"22","75.842411225","Espressi_02:18:d0","Broadcast","ARP","42","ARP Announcement for 10.42.0.240"
"23","75.842428585","Espressi_02:18:d0","Broadcast","ARP","42","ARP Announcement for 10.42.0.240"
"24","79.800805729","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
"25","79.800820293","fe80::3685:18ff:fe02:18d0","ff02::1:ff02:18d0","ICMPv6","86","Multicast Listener Report"
